Food,Serving,Serving (g),Calories,Calories/gram
Artichoke,1 artichoke,128.0,60,0.469
Arugula,1 leaf,2.0,1,0.500
Asparagus,1 spear,12.0,2,0.167
Aubergine,1 aubergine,458.0,115,0.251
Beetroot,1 beet,82.0,35,0.427
Bell Pepper,1 pepper,73.0,15,0.205
Black Olives,1 olive,2.7,2,0.741
Broccoli,1 bunch,608.0,207,0.340
Brussels Sprouts,1 sprout,19.0,8,0.421
Cabbage,1 head,908.0,227,0.250
Capsicum,1 pepper,45.0,12,0.267
Carrot,1 carrot,61.0,25,0.410
Cauliflower,1 floweret,13.0,3,0.231
