Type,Location,Activity,Intensity,Calories/gram
Land,,Squash,,12.00981
Land,,Table tennis, ping pong,4.00119
Land,,Tai chi,,4.00119
Land,,Playing tennis,,7.00576
Land,,Tennis, doubles,6.00203
Land,,Tennis, singles,8.00862
Land,,Trampoline,,3.50456
Land,,Volleyball, competitive,8.00862
Land,,Playing volleyball,,3.00101
Land,,Volleyball, beach,8.00862
Land,,Wrestling,,6.00203
Land,,Wallyball,,7.00576
Land,,Backpacking, Hiking with pack,7.00576
Land,,Carrying," infant, level ground",3.50456
Land,,Carrying," infant, upstairs",5.00492
Land,,Carrying," 16 to 24 lbs, upstairs",6.00203
Land,,Carrying," 25 to 49 lbs, upstairs",8.00862
Land,,Standing," playing with children, light",2.80297
Land,,Walk/run," playing with children, moderate",4.00119
Land,,Walk/run," playing with children, vigorous",5.00492
Land,,Carrying small children,,3.00101
Land,,Loading, unloading car,3.00101
Land,,Climbing hills, carrying up to 9 lbs,7.00576
Land,,Climbing hills, carrying 10 to 20 lb,7.50931
Land,,Climbing hills, carrying 21 to 42 lb,8.00862
Land,,Climbing hills, carrying over 42 lb,9.00573
Land,,Walking downstairs,,3.00101
Land,,Hiking, cross country,6.00203
Land,,Bird watching,,2.50439
Land,,Marching," rapidly, military",6.50558
Land,,Children's games," hopscotch, dodgeball",5.00492
Land,,Pushing stroller or walking with children,,2.50439
Land,,Pushing a wheelchair,,4.00119
Land,,Race walking,,6.50558
Land,,Rock climbing, mountain climbing,8.00862
Land,,Walking using crutches,,5.00492
Land,,Walking the dog,,3.00101
Land,,Walking," under 2.0 mph, very slow",2.00084
Land,,Walking 2.0 mph, slow,2.50439
Land,,Walking 2.5 mph,,3.00101
Land,,Walking 3.0 mph, moderate,3.30383
Land,,Walking 3.5 mph, brisk pace,3.80314
Land,,Walking 3.5 mph, uphill,6.00203
Land,,Walking 4.0 mph, very brisk,5.00492
Land,,Walking 4.5 mph,,6.30485
Land,,Walking 5.0 mph,,8.00862
Land,,Skiing, water skiing,6.00203
Land,,Ski mobiling,,7.00576
Land,,Raking lawn,,4.3045
Land,,Gardening, general,4.00119
Land,,Bagging grass, leaves,4.00119
Land,,Watering lawn or garden,,1.50728
Land,,Weeding, cultivating garden,4.50829
Land,,Carpentry, general,3.50456
Land,,Carrying heavy loads,,8.00862
Land,,Carrying moderate loads upstairs,,8.00862
Land,,General cleaning,,3.50456
Land,,Cleaning, dusting,2.50439
Land,,Taking out trash,,3.00101
Land,,Walking, pushing a wheelchair,4.00119
Land,,Teach physical education,exercise class,4.00119
Water,,Water aerobics,,4.00119
Water,,Boating," power, speed boat",2.50439
Water,,Canoeing, camping trip,4.00119
Water,,Canoeing," rowing, light",3.00101
Water,,Canoeing," rowing, moderate",7.00576
Water,,Canoeing," rowing, vigorous",12.00981
Water,,Crew," sculling, rowing, competition",12.00981
Water,,Kayaking,,5.00492
Water,,Paddle boat,,4.00119
Water,,Windsurfing, sailing,3.00101
Water,,Sailing, competition,5.00492
Water,,Sailing," yachting, ocean sailing",3.00101
Water,,Skin diving, fast,16.01455
Water,,Skin diving, moderate,12.51422
Water,,Skin diving, scuba diving,7.00576
Water,,Snorkeling,,5.00492
Water,,Surfing, body surfing or board surfing,3.00101
Water,,Whitewater rafting," kayaking, canoeing",5.00492
Water,,Swimming," freestyle, fast",10.00946
Water,,Swimming," freestyle, slow",7.00576
Water,,Swimming, backstroke,7.00576
Water,,Swimming, breaststroke,10.00946
Water,,Swimming butterfly,,11.00963
Water,,Swimming leisurely, not laps,6.00203
Water,,Swimming sidestroke,,8.00862
Water,,Swimming synchronized,,8.00862
Water,,Swimming," treading water, fast, vigorous",10.00946
Water,,Swimming," treading water, moderate",4.00119
Water,,Water aerobics, water calisthenics,4.00119
Water,,Water polo,,10.00946
Water,,Water volleyball,,3.00101
Water,,Water jogging,,8.00862
Water,,Diving, springboard or platform,3.00101
