"Track and field (shot, discus)",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
"Track and field (high jump, pole vault)",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
Track and field (hurdles),590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
Archery,207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
Badminton,266,317,368,419,4.508294169,4.510997677,4.508861264,4.507263062,4.506054675
"Basketball game, competitive",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Playing basketball, non game",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
"Basketball, officiating",413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Basketball, shooting baskets",266,317,368,419,4.508294169,4.510997677,4.508861264,4.507263062,4.506054675
"Basketball, wheelchair",384,457,531,605,6.505578962,6.512116947,6.500156459,6.503686647,6.506355795
"Running, training, pushing wheelchair",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
Billiards,148,176,204,233,2.504391493,2.509878407,2.503342531,2.49859148,2.505753554
Bowling,177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Boxing, in ring",708,844,981,1117,12.00980687,12.00671562,12.00466532,12.0152855,12.01256103
"Boxing, punching bag",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
"Boxing, sparring",531,633,735,838,9.005730796,9.005036715,9.00349899,9.002278128,9.01210935
"Coaching: football, basketball, soccer",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
"Cricket (batting, bowling)",295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
Croquet,148,176,204,233,2.504391493,2.509878407,2.503342531,2.49859148,2.505753554
Curling,236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
Darts (wall or lawn),148,176,204,233,2.504391493,2.509878407,2.503342531,2.49859148,2.505753554
Fencing,354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
"Football, competitive",531,633,735,838,9.005730796,9.005036715,9.00349899,9.002278128,9.01210935
"Football, touch, flag, general",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Football or baseball, playing catch",148,176,204,233,2.504391493,2.509878407,2.503342531,2.49859148,2.505753554
"Frisbee playing, general",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Frisbee, ultimate frisbee",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Golf, general",266,317,368,419,4.508294169,4.510997677,4.508861264,4.507263062,4.506054675
"Golf, walking and carrying clubs",266,317,368,419,4.508294169,4.510997677,4.508861264,4.507263062,4.506054675
"Golf, driving range",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Golf, miniature golf",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Golf, walking and pulling clubs",254,303,351,400,4.304498928,4.307494022,4.309731744,4.299047106,4.30172284
"Golf, using power cart",207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
Gymnastics,236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
Hacky sack,236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
Handball,708,844,981,1117,12.00980687,12.00671562,12.00466532,12.0152855,12.01256103
"Handball, team",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Hockey, field hockey",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Hockey, ice hockey",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Riding a horse, general",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
"Horesback riding, saddling horse",207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
"Horseback riding, grooming horse",207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
"Horseback riding, trotting",384,457,531,605,6.505578962,6.512116947,6.500156459,6.503686647,6.506355795
"Horseback riding, walking",148,176,204,233,2.504391493,2.509878407,2.503342531,2.49859148,2.505753554
"Horse racing, galloping",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Horse grooming, moderate",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
Horseshoe pitching,177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
Jai alai,708,844,981,1117,12.00980687,12.00671562,12.00466532,12.0152855,12.01256103
"Martial arts, judo, karate, jujitsu",590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
"Martial arts, kick boxing",590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
"Martial arts, tae kwan do",590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
Krav maga training,590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
Juggling,236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
Kickball,413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
Lacrosse,472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
Orienteering,531,633,735,838,9.005730796,9.005036715,9.00349899,9.002278128,9.01210935
Playing paddleball,354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
"Paddleball, competitive",590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
Polo,472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Racquetball, competitive",590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
